longitude,latitude,altitude,ground_speed
72.986716,21.455047,0,0
72.986716,21.455047,0,13.055556
72.985947,21.454107,0,13.055556
72.983276,21.450907,0,11.111111
72.979973,21.446924,0,13.611111
72.979187,21.445978,0,12.5
72.976182,21.442367,0,13.055556
72.973036,21.438609,0,0
72.973036,21.438609,0,13.611111
72.972231,21.437642,0,13.333333
72.969133,21.433927,0,12.777778
72.967751,21.430729,0,12.5
72.96708,21.426236,0,12.222222
72.966462,21.421776,0,12.222222
72.966156,21.419509,0,0
72.965996,21.418284,0,13.333333
72.965493,21.414613,0,12.777778
72.964836,21.409893,0,13.333333
72.964289,21.405444,0,12.5
72.963622,21.400942,0,12.222222
72.962889,21.398722,0,0
72.962524,21.397636,0,12.222222
72.961151,21.393247,0,12.777778
72.959671,21.388736,0,13.333333
72.958298,21.384593,0,10.555556
72.957604,21.381249,0,13.888889
72.957658,21.378991,0,0
72.957693,21.377971,0,11.388889
72.957924,21.373647,0,11.666667
72.958124,21.372578,0,11.666667
72.958764,21.369262,0,13.055556
72.95952,21.364329,0,13.611111
72.95996,21.359356,0,13.611111
72.959938,21.358178,0,0
72.959907,21.357058,0,12.5
72.959876,21.355913,0,12.777778
72.959493,21.351193,0,13.055556
72.959138,21.348789,0,13.333333
72.958658,21.345204,0,13.055556
72.958724,21.344011,0,13.333333
72.960084,21.339356,0,13.333333
72.960427,21.338164,0,13.611111
72.960747,21.337007,0,0
72.960747,21.337007,0,13.055556
72.961076,21.335867,0,12.777778
72.962378,21.331224,0,13.055556
72.96308,21.328911,0,13.333333
72.963738,21.324113,0,12.777778
72.963867,21.320651,0,12.777778
72.96328,21.31622,0,0
72.96328,21.31622,0,12.222222
72.962569,21.315296,0,12.5
72.958778,21.312209,0,12.222222
72.957093,21.310742,0,11.944444
72.955591,21.309107,0,11.944444
72.955191,21.308071,0,12.5
72.954573,21.304713,0,11.388889
72.954444,21.303771,0,0
72.954253,21.302898,0,3.055556
72.953422,21.299127,0,11.388889
72.953164,21.298093,0,0
72.952911,21.296964,0,12.777778
72.952667,21.295807,0,12.777778
72.951689,21.291233,0,10.277778
