longitude,latitude,altitude,ground_speed
73.005418,21.532522,0,12.5
73.005907,21.536789,0,11.388889
73.006387,21.541004,0,11.111111
73.006987,21.545289,0,11.944444
73.007471,21.54948,0,11.388889
73.007422,21.5505,0,0
73.007218,21.551562,0,11.388889
73.00644,21.55364,0,11.944444
73.004889,21.557822,0,11.944444
73.004129,21.559944,0,11.944444
73.002609,21.564216,0,13.888889
73.001191,21.567971,0,13.611111
73.000413,21.570167,0,0
73.000413,21.570167,0,11.944444
73.000022,21.571191,0,11.666667
72.998427,21.575296,0,11.666667
72.997667,21.577356,0,11.944444
72.996169,21.581511,0,12.5
72.995049,21.585747,0,11.944444
72.9956,21.589064,0,0
72.995689,21.590127,0,11.666667
72.995733,21.591167,0,11.388889
72.996711,21.595338,0,11.666667
72.99688,21.596402,0,11.944444
72.997369,21.599551,0,11.666667
72.998084,21.603798,0,11.944444
72.998627,21.607009,0,11.944444
72.998764,21.608038,0,0
72.998849,21.608984,0,10
72.999138,21.613807,0,10.833333
73.000227,21.615584,0,0
73.000342,21.615798,0,2.777778
73.002547,21.618849,0,6.111111
73.003213,21.619529,0,0
73.003213,21.619529,0,1.944444
73.003569,21.619249,0,4.444444
73.003662,21.619122,0,4.166667
73.003942,21.618747,0,5.833333
73.004898,21.617469,0,2.5
73.005182,21.617553,0,4.444444
73.005587,21.617836,0,7.222222
73.008009,21.618276,0,9.444444
73.009111,21.618298,0,1.944444
73.009178,21.618442,0,4.166667
73.009142,21.61888,0,5.277778
73.009124,21.620644,0,0
73.009142,21.621156,0,5
73.009147,21.621484,0,2.777778
73.009329,21.621691,0,3.888889
73.009796,21.621698,0,4.166667
73.013724,21.621789,0,8.611111
73.016244,21.621816,0,7.5
73.018396,21.621804,0,0
73.018698,21.622087,0,2.222222
73.018858,21.623804,0,2.5
73.019036,21.62382,0,2.5
73.019502,21.623771,0,5.833333
73.020324,21.623693,0,0
73.020324,21.623693,0,0
73.020769,21.624131,0,0
73.020769,21.624131,0,0
73.020769,21.624131,0,0
73.020769,21.624131,0,0
73.021124,21.624636,0,23.333333
73.020644,21.624202,0,0
73.020644,21.624202,0,0
73.020644,21.624202,0,0
73.020644,21.624202,0,0
73.020644,21.624202,0,0
73.020933,21.623716,0,4.166667
73.022942,21.623564,0,5.833333
73.023284,21.623858,0,4.444444
73.023462,21.626147,0,0
73.023538,21.627036,0,10.833333
73.023796,21.631069,0,6.944444
73.023804,21.633622,0,4.166667
73.023973,21.633933,0,0
73.023973,21.633933,0,3.611111
73.024422,21.634498,0,0
73.024422,21.634498,0,0
73.024422,21.634498,0,0
73.024422,21.634498,0,0
73.024071,21.634564,0,1.944444
73.024018,21.63478,0,4.166667
73.023782,21.63544,0,2.5
73.023467,21.635456,0,0
73.023467,21.635456,0,3.611111
73.023058,21.635422,0,2.5
73.022338,21.635169,0,2.777778
73.022093,21.635258,0,3.333333
73.021431,21.635402,0,0
73.021431,21.635402,0,0
73.020982,21.63514,0,0
73.020982,21.63514,0,0
73.020982,21.63514,0,0
73.020982,21.63514,0,0
73.020982,21.63514,0,0
73.020982,21.63514,0,0
73.018027,21.631667,0,14.722222
73.016947,21.630764,0,0
73.015822,21.629827,0,15.555556
73.014733,21.628929,0,14.166667
73.013747,21.628102,0,13.888889
73.009711,21.624707,0,13.888889
73.00572,21.621351,0,13.888889
73.004729,21.620527,0,13.611111
73.002036,21.617816,0,13.888889
73.000138,21.61462,0,0
73.000138,21.61462,0,11.944444
72.999742,21.613518,0,13.611111
72.999244,21.611107,0,12.777778
72.998893,21.607656,0,12.5
72.998116,21.602918,0,13.611111
72.997231,21.598064,0,13.333333
72.996489,21.593238,0,0
72.996489,21.593238,0,13.333333
72.996458,21.592022,0,13.611111
72.995453,21.58714,0,13.611111
72.995253,21.585913,0,13.888889
72.9956,21.583456,0,13.888889
72.99604,21.58226,0,13.888889
72.997347,21.57868,0,13.611111
72.99864,21.575216,0,13.333333
72.999956,21.571691,0,0
73.000391,21.570509,0,13.611111
73.002116,21.566009,0,10.277778
73.003373,21.562749,0,3.333333
73.003164,21.56258,0,3.333333
73.000884,21.561996,0,6.388889
73.00012,21.561756,0,6.388889
72.999884,21.561589,0,0
72.999884,21.561589,0,2.222222
72.999991,21.56134,0,3.888889
73.000173,21.560824,0,6.944444
73.000267,21.560362,0,6.388889
72.999733,21.559749,0,10.277778
72.99904,21.558998,0,10.555556
72.998796,21.558729,0,6.111111
72.998796,21.558729,0,6.111111
72.999009,21.558087,0,9.444444
72.999329,21.557191,0,10.833333
72.999289,21.555196,0,11.388889
72.999093,21.554107,0,11.111111
72.998916,21.553596,0,2.222222
72.998809,21.553429,0,0
72.998884,21.552958,0,3.333333
72.998778,21.552753,0,0
72.998778,21.552753,0,0
72.998778,21.552753,0,2.5
72.998613,21.55278,0,4.444444
72.997956,21.552869,0,7.777778
72.996458,21.55276,0,2.777778
72.995813,21.549418,0,2.5
72.995813,21.549418,0,2.5
72.995644,21.549424,0,4.722222
72.994973,21.549529,0,8.611111
72.993156,21.549833,0,0
72.992769,21.549818,0,0
72.992769,21.549818,0,0
72.992769,21.549818,0,0
72.992769,21.549818,0,0
72.992769,21.549818,0,0
72.992769,21.549818,0,0
72.992769,21.549818,0,0
72.992769,21.549818,0,0
72.992769,21.549818,0,0
72.992769,21.549818,0,0
72.992769,21.549818,0,0
72.992769,21.549818,0,0
72.990751,21.546236,0,0
72.990751,21.546236,0,0.555556
72.990751,21.546236,0,0
