longitude,latitude,ground_speed
72.980453,20.860627,4.722222
72.980453,20.860627,4.722222
72.980578,20.860402,5.277778
72.980636,20.86002,4.166667
72.981058,20.856591,3.888889
72.981111,20.856249,2.777778
72.981293,20.855967,0
72.981636,20.855518,6.944444
72.982538,20.854362,8.888889
72.983071,20.853951,9.722222
72.984053,20.853738,11.388889
72.988489,20.85324,5.555556
72.989036,20.853198,5.277778
72.989151,20.853104,4.722222
72.99064,20.84992,10.277778
72.990511,20.847951,0
72.990267,20.84696,10.833333
72.99008,20.845524,3.611111
72.99008,20.845029,6.666667
72.990431,20.844584,3.333333
72.993507,20.841313,11.111111
72.994924,20.837724,10.555556
72.99436,20.834571,0
72.994316,20.833627,9.444444
72.994391,20.832827,9.166667
72.994676,20.831936,10.555556
72.995262,20.831209,9.722222
72.995262,20.831209,9.722222
72.995476,20.830607,9.722222
72.995476,20.82974,8.888889
72.995444,20.82892,9.166667
72.995462,20.824084,10.277778
72.996529,20.819713,8.888889
72.996689,20.818904,0
72.996604,20.818153,6.388889
72.996604,20.818153,6.388889
72.99668,20.817904,5.277778
72.996809,20.817838,5.555556
73.001204,20.817051,9.722222
73.004409,20.815049,9.444444
73.005156,20.814511,10.277778
73.005613,20.813604,11.388889
73.006356,20.811627,10
73.006582,20.810751,10.555556
73.006631,20.809813,0
73.006422,20.808838,11.111111
73.006089,20.807864,11.111111
73.004676,20.803918,10
73.003569,20.801118,6.666667
73.003196,20.796433,0
73.003196,20.796433,9.444444
73.003404,20.795529,10.277778
73.004107,20.79312,3.611111
73.006964,20.793551,10.555556
73.007942,20.793293,10.277778
73.01,20.792913,10.833333
73.012129,20.792584,11.111111
73.016382,20.792,0
73.017458,20.791791,11.111111
73.022573,20.790551,11.666667
73.026916,20.790853,9.722222
73.032013,20.791591,11.388889
73.035529,20.791211,0
73.035529,20.791211,12.777778
73.03676,20.79112,12.777778
73.041342,20.790433,10.555556
73.043076,20.789209,11.111111
73.043884,20.788544,10.833333
73.04648,20.786909,10.555556
73.050978,20.786122,11.944444
73.054422,20.785509,0
73.055573,20.785287,11.388889
73.057693,20.78538,11.111111
73.058756,20.785707,12.222222
73.061987,20.786864,11.944444
73.064018,20.787604,8.888889
73.064422,20.787762,2.222222
73.06468,20.787793,2.5
73.064764,20.787578,4.444444
73.064409,20.785598,0
73.064409,20.785598,6.388889
73.06424,20.784962,7.5
73.063271,20.781429,8.888889
73.062582,20.778584,11.111111
73.0618,20.775516,0
73.061782,20.775271,0
73.061782,20.775271,0
73.061782,20.775271,0
73.061782,20.775271,0
73.061782,20.775271,0
73.061782,20.775271,0
73.025436,20.722824,0
73.025436,20.722824,0
73.025476,20.722862,0
73.025476,20.722862,0
73.025476,20.722862,0
73.025476,20.722862,0
73.025404,20.722878,0
73.025404,20.722878,0
73.024818,20.72272,3.611111
73.022102,20.720989,5.555556
73.020271,20.71782,11.111111
73.019098,20.715856,13.333333
73.018129,20.71526,0
73.017098,20.714944,11.111111
73.012849,20.713282,12.222222
73.008573,20.711936,11.111111
73.00416,20.711396,11.944444
73.000204,20.709244,12.5
72.99932,20.70854,0
72.998551,20.707924,10.277778
72.997724,20.707336,11.111111
72.993791,20.705202,11.666667
72.989884,20.703076,11.666667
72.988089,20.701796,11.944444
72.987596,20.700833,11.666667
72.987116,20.699871,11.666667
72.986298,20.69916,11.666667
72.985871,20.698998,11.944444
72.984773,20.6987,11.666667
72.98256,20.698484,0
72.981422,20.698422,11.666667
72.977333,20.69678,11.666667
72.973951,20.693964,11.111111
72.970778,20.691169,10.833333
72.967751,20.688224,11.388889
72.966996,20.687482,0
72.966231,20.68672,11.666667
72.962884,20.683758,10.833333
72.961129,20.682722,10.833333
72.956649,20.680278,15
72.952409,20.677422,12.222222
72.951187,20.67578,9.722222
72.951004,20.674869,0
72.95112,20.6739,10.555556
72.950364,20.669898,11.111111
72.950018,20.666844,8.888889
72.950667,20.665027,11.944444
72.952164,20.660893,12.222222
72.952551,20.658818,11.666667
72.952316,20.65778,0
72.952316,20.65778,11.666667
72.952036,20.656731,11.666667
72.95192,20.655642,12.222222
72.952284,20.654589,12.222222
72.95308,20.653793,11.944444
72.956298,20.650871,11.388889
72.957267,20.646531,11.944444
72.957787,20.644373,12.222222
72.95804,20.643289,11.944444
72.958849,20.640093,0
72.959151,20.639082,11.388889
72.959493,20.638073,12.222222
72.960867,20.634036,11.388889
72.960982,20.632958,11.666667
72.960787,20.631896,12.222222
72.960098,20.629771,11.388889
72.959093,20.625764,9.166667
72.959609,20.622887,0
72.959844,20.621842,12.222222
72.960609,20.618529,12.222222
72.961458,20.61416,12.5
72.961844,20.612038,11.111111
72.962236,20.607636,11.944444
72.960493,20.603778,0
72.960493,20.603778,10.555556
72.959618,20.603173,11.944444
72.955916,20.600542,12.5
72.952164,20.597718,12.222222
72.950982,20.59594,11.111111
72.950684,20.594907,11.666667
72.950622,20.593909,10
72.951333,20.591029,0
72.951333,20.591029,5.833333
72.951529,20.590444,7.777778
72.952764,20.58632,15.277778
72.953133,20.585056,13.333333
72.954378,20.580827,12.777778
72.954698,20.579713,12.5
72.955644,20.576333,12.222222
72.955596,20.57264,0
72.955596,20.57264,7.222222
72.955538,20.571936,8.055556
72.955191,20.567882,11.388889
72.954827,20.563571,11.944444
72.954702,20.562484,11.944444
72.955053,20.558091,12.222222
72.955742,20.555073,11.111111
72.955933,20.554176,0
72.956102,20.553427,7.5
72.957093,20.54872,13.611111
72.957693,20.5461,14.444444
72.958284,20.54374,10.833333
72.960009,20.539493,12.777778
72.961653,20.536718,0
72.961609,20.535651,11.388889
72.95952,20.531896,11.944444
72.959084,20.528667,12.5
72.958902,20.525462,10
72.958502,20.52372,10
72.958013,20.522887,11.388889
72.957338,20.522118,10.277778
72.955009,20.520144,0
72.95408,20.519511,11.666667
72.952187,20.51818,11.944444
72.948107,20.51536,11.944444
72.944689,20.511938,11.388889
72.943978,20.509829,10.833333
72.943124,20.50734,0
72.942884,20.506558,8.333333
72.942862,20.505847,7.5
72.943262,20.50464,4.444444
72.943396,20.504371,3.333333
72.943831,20.502982,2.5
72.944053,20.501684,6.666667
72.943627,20.499724,3.888889
72.94372,20.499442,0
72.94372,20.499442,3.611111
72.943902,20.499213,2.5
72.946036,20.496042,8.888889
72.947089,20.492016,7.777778
72.946876,20.48746,10
72.946876,20.48746,10
72.946738,20.486842,0
72.946738,20.486842,10.277778
72.946191,20.485991,10.555556
72.946191,20.485991,10.555556
72.946129,20.48554,10
72.946547,20.484793,8.333333
72.949218,20.481064,9.722222
72.949964,20.476087,10.277778
72.950164,20.474131,10.555556
72.950529,20.470896,0
72.950907,20.470256,8.055556
72.953484,20.466198,11.388889
72.954178,20.465398,0
72.954804,20.464562,10.833333
72.956742,20.460811,11.111111
72.958351,20.458093,11.111111
72.960724,20.453856,11.666667
72.962196,20.449684,10.833333
72.962,20.445318,7.222222
72.961973,20.44378,9.722222
72.961947,20.441802,0
72.961907,20.440804,10
72.960822,20.436022,8.611111
72.960724,20.433324,10.833333
72.961,20.432362,10.833333
72.962067,20.428582,10.555556
72.962907,20.425538,0
72.963142,20.424584,10.555556
72.96444,20.419702,11.111111
72.965538,20.415162,10.555556
72.965996,20.413262,10.555556
72.965996,20.4123,10.555556
72.965707,20.411318,10.555556
72.964773,20.408282,11.111111
72.964662,20.40746,0
72.964662,20.40746,9.166667
72.965133,20.406667,10.277778
72.966142,20.405458,7.777778
72.966858,20.40514,8.611111
72.967764,20.404971,9.722222
72.96956,20.404231,10.277778
72.9704,20.403576,10.555556
72.971178,20.403002,9.722222
72.9718,20.402353,8.888889
72.972022,20.401538,8.333333
72.97236,20.398909,10.555556
72.972893,20.394758,0
72.972893,20.394758,10.833333
72.973147,20.393807,10.833333
72.973662,20.391793,11.944444
72.973809,20.390891,7.5
72.973329,20.390244,9.166667
72.970604,20.386924,9.444444
72.9682,20.383571,0
72.967644,20.382667,11.111111
72.967142,20.38172,11.666667
72.966347,20.380076,8.611111
72.966004,20.379518,6.111111
72.964609,20.379287,8.611111
72.959524,20.378527,9.722222
72.954818,20.378047,10.833333
72.953796,20.377849,10.833333
72.952622,20.377389,7.222222
72.951987,20.377831,0
72.951987,20.377831,9.166667
72.951333,20.378491,10
72.950631,20.379084,8.888889
72.95024,20.37918,8.055556
72.949538,20.379071,7.222222
72.948844,20.378842,7.777778
72.948213,20.378371,8.055556
72.946662,20.377793,8.888889
72.945787,20.377578,9.722222
72.944822,20.3775,9.722222
72.941084,20.378004,6.666667
72.939089,20.378413,6.111111
72.938444,20.37866,0
72.937676,20.378789,8.888889
